severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2026-06-25T19:40:56+0000		14.0	chat02jselvis@gmail.com	java:S6355	backend-astramaco	5min		Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation.	2026-06-25T19:26:11+0000	CODE_SMELL	false	"java9 / "	backend-astramaco:src/main/java/com/example/backendastramaco/model/Transportista.java		MAIN	{startLine=14.0, endLine=14.0, startOffset=0.0, endOffset=11.0}	5min	AZ8ATP1zL918jjhl3eMo	b1eaf8cb50dcb99ab0f059111ebf4efa	OPEN
MAJOR	2026-06-25T19:40:56+0000		11.0	chat02jselvis@gmail.com	java:S6355	backend-astramaco	5min		Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation.	2026-06-25T19:26:11+0000	CODE_SMELL	false	"java9 / "	backend-astramaco:src/main/java/com/example/backendastramaco/model/Usuario.java		MAIN	{startLine=11.0, endLine=11.0, startOffset=0.0, endOffset=11.0}	5min	AZ8ATP16L918jjhl3eMs	b1eaf8cb50dcb99ab0f059111ebf4efa	OPEN
MINOR	2026-06-25T19:40:56+0000		47.0	chat02jselvis@gmail.com	java:S1874	backend-astramaco	15min		"Remove this use of ""Transportista""; it is deprecated."	2026-06-25T11:58:36+0000	CODE_SMELL	false	"cert / cwe / obsolete / "	backend-astramaco:src/main/java/com/example/backendastramaco/controller/TransportistaController.java		MAIN	{startLine=47.0, endLine=47.0, startOffset=26.0, endOffset=39.0}	15min	AZ8ATP04L918jjhl3eMR	7ab341ef249a9f740ef1e21a63aca6f9	OPEN
MINOR	2026-06-25T19:40:56+0000		48.0	chat02jselvis@gmail.com	java:S1874	backend-astramaco	15min		"Remove this use of ""Transportista""; it is deprecated."	2026-06-25T11:58:36+0000	CODE_SMELL	false	"cert / cwe / obsolete / "	backend-astramaco:src/main/java/com/example/backendastramaco/controller/TransportistaController.java		MAIN	{startLine=48.0, endLine=48.0, startOffset=8.0, endOffset=21.0}	15min	AZ8ATP04L918jjhl3eMS	0f791d0149eda4e46c143efa3fca93cc	OPEN
MINOR	2026-06-25T19:40:56+0000		57.0	chat02jselvis@gmail.com	java:S1874	backend-astramaco	15min		"Remove this use of ""Transportista""; it is deprecated."	2026-06-25T11:58:36+0000	CODE_SMELL	false	"cert / cwe / obsolete / "	backend-astramaco:src/main/java/com/example/backendastramaco/controller/TransportistaController.java		MAIN	{startLine=57.0, endLine=57.0, startOffset=31.0, endOffset=44.0}	15min	AZ8ATP04L918jjhl3eMT	a6b353415ba0d34268cbdffa00483fd9	OPEN
MINOR	2026-06-25T19:40:56+0000		61.0	chat02jselvis@gmail.com	java:S1874	backend-astramaco	15min		"Remove this use of ""Transportista""; it is deprecated."	2026-06-25T11:58:36+0000	CODE_SMELL	false	"cert / cwe / obsolete / "	backend-astramaco:src/main/java/com/example/backendastramaco/controller/TransportistaController.java		MAIN	{startLine=61.0, endLine=61.0, startOffset=13.0, endOffset=26.0}	15min	AZ8ATP04L918jjhl3eMU	c10ad5f54bbc46fa380f1a229017ae1b	OPEN
MINOR	2026-06-25T19:40:56+0000		67.0	chat02jselvis@gmail.com	java:S1874	backend-astramaco	15min		"Remove this use of ""Transportista""; it is deprecated."	2026-06-25T11:58:36+0000	CODE_SMELL	false	"cert / cwe / obsolete / "	backend-astramaco:src/main/java/com/example/backendastramaco/controller/TransportistaController.java		MAIN	{startLine=67.0, endLine=67.0, startOffset=31.0, endOffset=44.0}	15min	AZ8ATP04L918jjhl3eMV	101c6bb8880151c20df4f3c5d9c25f4b	OPEN
MINOR	2026-06-25T19:40:56+0000		68.0	chat02jselvis@gmail.com	java:S1874	backend-astramaco	15min		"Remove this use of ""Transportista""; it is deprecated."	2026-06-25T11:58:36+0000	CODE_SMELL	false	"cert / cwe / obsolete / "	backend-astramaco:src/main/java/com/example/backendastramaco/controller/TransportistaController.java		MAIN	{startLine=68.0, endLine=68.0, startOffset=13.0, endOffset=26.0}	15min	AZ8ATP04L918jjhl3eMW	fc138d5d2f11953536eff81b0b8efb78	OPEN
MINOR	2026-06-25T19:40:56+0000		74.0	chat02jselvis@gmail.com	java:S1874	backend-astramaco	15min		"Remove this use of ""Transportista""; it is deprecated."	2026-06-25T11:58:36+0000	CODE_SMELL	false	"cert / cwe / obsolete / "	backend-astramaco:src/main/java/com/example/backendastramaco/controller/TransportistaController.java		MAIN	{startLine=74.0, endLine=74.0, startOffset=31.0, endOffset=44.0}	15min	AZ8ATP04L918jjhl3eMX	a0e67973675df563cfa1f00dff862673	OPEN
MINOR	2026-06-25T19:40:56+0000		75.0	chat02jselvis@gmail.com	java:S1874	backend-astramaco	15min		"Remove this use of ""Transportista""; it is deprecated."	2026-06-25T11:58:36+0000	CODE_SMELL	false	"cert / cwe / obsolete / "	backend-astramaco:src/main/java/com/example/backendastramaco/controller/TransportistaController.java		MAIN	{startLine=75.0, endLine=75.0, startOffset=13.0, endOffset=26.0}	15min	AZ8ATP04L918jjhl3eMY	f971bb528c040bd8b6d22a323fce4884	OPEN
